openalex_id,abstract_pillar,theoretical_frame,tech_indicator,finding_tech,finding_affluence,displacement,supports_decoupling,section_relevance,include_final,notes,study_type,sample_desc,outcome_indicator,assessed_stage,exclusion_reason,screen_rule,screen_code,assessment_basis,citation,decoupling_category
https://openalex.org/W1140131796,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W1154354278,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W118349051,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W1195638036,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W120449840,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W128978027,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W136832057,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W141073191,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W14219551,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W144478288,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W145355760,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W1467855967,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W147127987,,,,,,,,,no,"ship breaking, two cases",,,,targeted_screen,"targeted screen: single-country, subnational or sectoral design",R4,EX1,title and abstract,,
https://openalex.org/W1471822320,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W147280868,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W1481167366,technology_indicators,,,,,,,4.2,no,,,,,full_text,"did not meet inclusion criteria at screening (cross-national scope, explicit technology indicator, or biophysical outcome)",,,full text,,
https://openalex.org/W1481767750,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W1481935167,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W1489802847,,,,,,,,,no,design science beyond eco-efficiency; rebound essay,,,,targeted_screen,"targeted screen: interpretive or theoretical source, not an empirical study",R2,THEORY,title and abstract,,
https://openalex.org/W1493162510,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W1497966701,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W149866997,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W1500095558,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W1503263161,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W1503376607,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W1504452031,,,,,,,,,,,,,,ranked_only,,,,,,
https://openalex.org/W1504658872,tech_material,,none (decoupling assessed directly),not_applicable,dominant_varies_by_group,not_tested,mixed,4.1,yes,"mixed support across outcomes and country groups; recharacterised from EF to CO2 and displacement claim removed (correction after abstract check, Aug 2026)",cross-national panel 1960-2005,"cross-national panel, developed and less-developed countries, 1960-2005",CO2 emissions (three measures),full_text,,,,full text,Jorgenson & Clark (2012),mixed
