rank,citation,decision,basis,abstract_pillar,study_type,sample_desc,outcome_indicator,tech_indicator,finding_tech,finding_affluence,displacement,supports_decoupling,decoupling_category,verification,doi,openalex_id
155,Creutzig et al. (2022),included,full text,tech_material,narrative review (historical and systemic),"digitalisation-environment literature, global","energy demand, GHG emissions, resource use","ICT / digitalisation (incl. AI, data centres)",digital technologies raise marginal resource efficiency but directly increase energy demand and scale up resource consumption; systemic rebound and scale effects dominate direct footprints,consumption acceleration (scale effects) identified as the main channel,not_tested,mixed,mixed,"Summary Points 3 (p.499-500): 'Digital technologies and artificial intelligence directly increase energy demand, scale up resource consumption ... and increase marginal efficiency in resource use'; abstract: 'digitalization has historically increased environmental impacts at local and planetary scales'",10.1146/annurev-environ-120920-100056,https://openalex.org/W4294549672
161,Jorgenson (2005),excluded: abstract: no explicit technology indicator in the sense of the review (capital intensity and military power as world-systems proxies),abstract,,,,,,,,,,,"abstract: Although unsustainable natural resource consumption has recently garnered significant attention in macrosociology, empirical studies neglect to analyze the environmental impacts of different forms of international power dynamics. This study dissects international power into its various economic, military, and export dependence characteristics, and analyzes their independent effects on per-capita consumption of natural resources, measured as ecological footprints. Findings of the quantitative cross-national analyses indicate that economic power in the form of capital intensity, military technol",10.1525/sop.2005.48.3.383,https://openalex.org/W2133022495
167,York et al. (2009),included,full text,tech_material,four-nation time-series (Prais-Winsten elasticity models),"China, India, Japan, United States, 1961-2003","EF (total, per capita, EF/GDP intensity)",none: decoupling tested directly (EF intensity vs total EF),efficiency (EF intensity) improved in all four whilst total EF grew (Jevons paradox),"dominant: GDP elasticity of EF positive and inelastic in all four, highest in the US (near unity)",not_tested,relative_only,relative_only,p.142: 'In all four nations the relationship between the GDP and EF is positive and inelastic'; abstract: 'ecological intensity of the economy declined ... but the total national EF increased substantially',10.5195/jwsr.2009.319,https://openalex.org/W2271129245
175,Li et al. (2022),excluded: full text: article retracted by the journal (7 August 2025),full text,tech_material,panel FMOLS/DOLS,"MINT countries (Mexico, Indonesia, Nigeria, Turkey), 2000-2020",CO2 emissions,"technological innovation (patent applications), green investment",technological innovation reported to increase CO2; green investment to reduce it,U-shaped EKC reported,not tested,n/a,,full text header (Frontiers PDF): 'RETRACTED: The Impact of Green Investment ... Retracted: 07 August 2025',10.3389/fenvs.2022.868704,https://openalex.org/W4221012522
176,Latief et al. (2022),included,abstract,tech_material,panel quantile regression with GMM,"Union for the Mediterranean countries by income level, 2001-2016",environmental degradation,green innovation,green innovation reduces environmental degradation in upper-middle- and high-middle-income countries; education reduces it in high-income countries,coded from abstract,not stated in abstract,technology reduces degradation (panel econometrics),supports_technology_effect,"abstract: This study aims to examine the environmental dynamics in the Union for Mediterranean (UFM) countries by considering education, urbanization, green innovation, and other key factors for the period 2001–2016. The data are divided based on the income level of UFM countries and analyzed with panel quantile regression, panel unit root tests, panel co-integration test, ordinary least squares method, and fixed effects model to evaluate the nexus between variables. A generalized method of moments (GMM) is employed to deal with the endogeneity issue in the panel data. The results of the study confirm t",10.3390/en15155456,https://openalex.org/W4288067255
186,Wei et al. (2023),included,full text,tech_material,panel CS-ARDL with AMG and CCEMG robustness; Dumitrescu-Hurlin causality,"world's top 10 'green future' economies, 1990-2018",CO2 emissions (environmental quality),green technological innovation; renewable energy consumption; green trade; inward FDI,green technological innovation and green growth associated with lower CO2; bidirectional causality,green growth (environmentally adjusted growth) reduces CO2; conventional affluence not isolated in abstract,not tested,technology reduces CO2 (panel econometrics; Tier C group),supports_technology_effect,abstract: 'This analysis concluded that environmental quality is significantly improving through green technological innovation and growth',10.3389/fenvs.2022.1076859,https://openalex.org/W4313827617
195,Warlenius (2023),"excluded: abstract: analytical scenario arithmetic without an empirical model (same rule as the essay by Priewe, 2022)",abstract,,,,,,,,,,,"abstract: In the debate between proponents of green growth and degrowth, the core issue is whether decoupling carbon emissions and resource use from GDP growth is possible, and if so, possible at a rate fast enough to achieve policy goals such as global warming of maximum 1.5 °C or 2 °C. In this paper, the claims by degrowth scholars on the limits of decoupling growth and carbon emissions are critically examined by assessing the economic and climate consequences of their claims. It is claimed that their pessimistic view on decoupling is not based on robust arguments but rather mystifications of what dec",10.1016/j.ecolecon.2023.107937,https://openalex.org/W4385009166
244,Sarkodie (2021),"excluded: abstract: no explicit technology indicator; convergence analysis, decoupling not assessed directly",abstract,,,,,,,,,,,"abstract: The long-run effect of the synergy between natural resource consumption and environmental sustainability varies across countries depending on the economic structure. However, the transboundary effect of natural resource capital underscores the importance of environmental convergence. Here, we map ecological performance, biocapacity, and carbon footprint of nations. We assess the socio-economic drivers of environmental performance and convergence using novel cross-country time series techniques. We find that the expansion of biocapacity of nations has an ameliorating effect on ecological perfor",10.1016/j.scitotenv.2020.141912,https://openalex.org/W3080413620
249,Lenzen et al. (2022),included,full text,tech_material,global MRIO accounting + panel regression,"164 regions, 1990-2019 (material balance extended to 1970)","MF (per capita; biomass, fossil fuels, metal ores, non-metallic minerals)",material intensity of production (technology term in MF regression),material intensity fell but no mitigating effect on footprints is discernible because of rising affluence,"dominant (GDP elasticities 0.37 biomass, 0.98 fossil, 0.81 metals, 0.96 minerals, all >0)",MF vs DE trade balance reported (HICs net importers),relative_only,relative_only,"p.9-10 (accepted manuscript): 'All elasticities are significantly larger than 0, meaning that there is no evidence of absolute decoupling in recent decades'; 'a corresponding mitigating effect of improved technology on footprints is not discernible ... because of increasing affluence'",10.1038/s41893-021-00811-6,https://openalex.org/W4200083698
265,Simpson et al. (2019),included,abstract,tech_material,"multilevel growth models, panel","113 countries; world, developed and less-developed samples",total and source-sector CO2 emissions,"ICT development (fixed telephone, internet use)",fixed-telephone development a strong predictor of higher CO2 in less-developed countries; framed as a treadmill of information against ecological modernisation,coded from abstract,not stated in abstract,mixed: ICT development raises CO2 in less-developed countries,mixed,"abstract: The world is facing a crisis of global warming due to the release of CO2 and other greenhouse gasses by human activities. Many scholars and stakeholders argue that information and communication technology (ICT) development will mitigate CO2 emissions. Advocacy of technological solutions to CO2 mitigation is consistent with ecological modernization theory's assertion that reflexive societies will modernize sustainably. In contrast, we define the “treadmill of information” as the unique contribution of ICT development to environmental degradation. We examine the impact of ICT development on tota",10.1525/sod.2019.5.4.381,https://openalex.org/W2993496297
283,Wiedenhofer et al. (2021),included,abstract,tech_material,"dynamic stock-flow model, 14 bulk materials","nine world regions, 1900-2015, trend scenarios to 2035",material stocks and flows,none: saturation of stocks assessed directly,stocks growing in all regions with little sign of saturation; China used half of global stock-building materials in 2015,coded from abstract,not stated in abstract,relative_only (no saturation of stocks),relative_only,"abstract: Material stocks in infrastructure, buildings and machinery shape current and future resource use and emissions. Analyses of specific countries and selected materials suggest that material stocks might saturate, which would be important for a more sustainable social metabolism. However, it is unclear to what extent the evidence holds for a wider range of stocks and flows, as well as for world regions or globally. We present an inflow-driven dynamic stock-flow model for 14 bulk materials, end-of-life outflows, recycling, and waste flows for nine world regions from 1900 to 2015, extended with tre",10.1016/j.gloenvcha.2021.102410,https://openalex.org/W3213160484
286,Gierałtowska et al. (2022),included,abstract,tech_material,fixed effects and two-step system GMM,"163 countries, 2000-2016",CO2 emissions,residents' patents (innovation); renewable energy consumption,"renewable energy reduces CO2 (a 1% increase, 1.2% decrease); patents have a non-linear effect; inverted-U EKC",coded from abstract,not stated in abstract,"mixed: renewables reduce CO2, patents non-linear",mixed,"abstract: A fixed effects regression and two-step system generalized method of moments (GMM) is used to analyze secondary data from the World Bank, covering 163 countries over the period from 2000 to 2016. The study tests the relationship between renewable energy, urbanization, and CO2 emissions. The empirical results show that urbanization has an inverted U-shaped relationship with CO2 emissions, while renewable energy consumption mitigates CO2 emissions. If causal, a 1% increase in renewable energy use leads to a 1.2% decrease in CO2 emissions. The results also show that the GDP per capita has an inve",10.3390/en15093390,https://openalex.org/W4229069547
302,Alataş et al. (2024),included,abstract,tech_material,four-component stochastic frontier panel,"EU countries, 1995-2019",domestic material consumption and material-efficiency performance,material-efficiency performance (frontier),economic growth and energy consumption are the main drivers of material demand,coded from abstract,not stated in abstract,no (growth and energy drive DMC),no,"abstract: Abstract Materials are of great importance as they are fundamentally integrated into many different critical topics, including green transition, technological progress, industrial emissions, and supply chains. Therefore, the amount of materials we demand and employ in the production process or how efficiently we use them become highly crucial. In this paper, we study the emerging role of materials with a special focus on the key role of material efficiency (ME) in climate mitigation. To this end, we empirically investigate the main determinant of material demand and evaluate the ME performance",10.1002/sd.2648,https://openalex.org/W4382723195
348,Lin et al. (2023),included,abstract,tech_material,system GMM and FGLS,"developing Belt and Road host countries, 2000-2018",emissions,"productive-capacity indices (ICT, human capital, energy, governance); technological innovation",cumulative productive capacity and technological innovation reduce emissions; natural resources raise them,coded from abstract,not stated in abstract,technology reduces emissions (panel econometrics),supports_technology_effect,abstract: Global climate change and environmental pollution force humanity to create new sustainable growth models. Growth policy relies heavily on the pillars of sectoral productivity: resource efficiency and sustainable resource management. This research adds to the determination of the impact of the numerous productive capacity indices (PCI) and natural resources on the ecological sustainability of emerging Belt and Road host nations from 2000 to 2018. The study utilized the system generalized method of moments (Sys-GMM) and the Feasible generalized least squares (FGLS) estimators to analyze the asso,10.1016/j.resourpol.2023.103776,https://openalex.org/W4381548479
349,McGee & Greiner (2018),included,abstract,tech_material,panel regression,"developed nations, 1985-2011",CO2 emissions vs economic growth,none: decoupling assessed directly; income inequality as moderator,rising income inequality tightens the growth-CO2 coupling; a larger top-20% income share strengthens it and a larger bottom-20% share weakens it,coded from abstract,not stated in abstract,mixed: coupling moderated by income inequality,mixed,"abstract: In the past two decades, income inequality has steadily increased in most developed nations. During this same period, the growth rate of CO 2 emissions has declined in many developed nations, cumulating to a recent period of decoupling between economic growth and CO 2 emissions. The aim of the present study is to advance research on socioeconomic drivers of CO 2 emissions by assessing how the distribution of income affects the relationship between economic growth and CO 2 emissions. The authors find that from 1985 to 2011, rising income inequality leads to a tighter coupling between economic g",10.1177/2378023118772716,https://openalex.org/W2801506382
354,Mazhar et al. (2025),included,full text,tech_material,"STIRPAT panel time-series (unit roots, cointegration, long-run estimators), two technological phases","19 technologically advanced economies, 1980-2023",CO2 emissions; ecological footprint,"eco-digitalisation (ICT-based), green technology, green finance","eco-digitalisation, green technology and green finance reduce CO2 and EF; heterogeneous across technological phases",affluence and population in the STIRPAT model (signs not stated in abstract),not tested,technology reduces CO2 and EF (panel econometrics; Tier C group),supports_technology_effect,"abstract: 'eco-digitalization, green technology, and green finance help to boost environmental sustainability by reducing carbon emissions and ecological footprints in technologically advanced economies'",10.64534/comm.2025.002,https://openalex.org/W4413636514
358,McGee et al. (2020),excluded: not assessable (full text not retrievable; abstract absent or without the direction of the finding),title and abstract,,,,,,,,,,,"Understanding how carbon dioxide emissions (CO2) can be decoupled from economic growth is an important part of planning for climate change mitigation. A variety of critical environmental theories contend that the oppression of marginalized groups is interconnected with the mistreatment and destruction of nature. As a result, social equity, or the removal of barriers of structural inequality, often",10.1080/23251042.2020.1736364,https://openalex.org/W3009243847
368,Moriarty & Honnery (2023),included,abstract,tech_material,narrative review,global decoupling literature; ICT,CO2 emissions and ecological footprint vs GDP,ICT innovations,"absolute decoupling may have occurred in some countries even after accounting for imports, but not globally; very high correlation between global GDP and CO2 and ecological footprint over three decades",coded from abstract,not stated in abstract,no (global): review,no,"abstract: Our planet faces several serious and urgent challenges to sustainability including, but not limited to, climate change; however, most researchers argue that technological solutions can solve these problems. This review first examines the prospects for decoupling environmental damages in general from economic growth, considered at the global level; then, it looks at whether the recent advances in information and communication technology (ICT) can help. It is argued that although absolute decoupling may have occurred in some countries—even after accounting for energy-intensive imports—it has not",10.3390/su15108043,https://openalex.org/W4376958430
409,Cetin et al. (2025),excluded: not assessable (full text not retrievable; abstract absent or without the direction of the finding),title and abstract,,,,,,,,,,,"Abstract Addressing environmental pollution is fundamental to establishing sustainable development across the globe. While navigating the Fourth Industrial Revolution, it is of critical relevance for economies worldwide to come up with innovative measures that can withstand the factors driving environmental pollution. On that note, this study explores the technological innovation‐environmental pol",10.1111/1477-8947.12458,https://openalex.org/W4393227851
439,Hassan et al. (2023),included,full text,tech_material,"cross-national panel (CS-ARDL), two sub-panels","G7 and E7 economies (14 countries), 1995-2020",EF (Global Footprint Network),"ICT diffusion (internet users, % of population); eco-innovation (environment-related technologies as % of all technologies, i.e. patent share)",long-run elasticities significant but small: ICT -0.02 (E7) and -0.03 (G7); eco-innovation -0.01 (E7) and -0.02 (G7),GDP per capita +0.16 (E7) and +0.07 (G7); energy consumption +0.10 (E7) and +0.52 (G7): affluence and energy dominate,not_tested,"mixed: small negative technology elasticities, affluence and energy dominate",mixed,"p.12-13: 'A 1% increase in information and communication technology and eco-innovations improve the environmental quality by decreasing the ecological footprint by 0.02 and 0.01 percent' (E7); 'a 1% improvement in natural resources, ICT, economic innovation, and population cut the ecological footprint by 0.01, 0.03, 0.02, and 0.09 percent' (G7); GDP +0.16 / +0.07, energy +0.10 / +0.52",10.1371/journal.pone.0287715,https://openalex.org/W4386699897
458,Qayyum et al. (2021),included,full text,tech_material,cross-country dynamic panel (system GMM),"34 OECD and 24 non-OECD countries (58), 1995-2015","carbon emissions embodied in exports (EEE) and imports (EEI), domestic and foreign components","Economic Complexity Index; technology effect (emission intensity), scale and composition effects",heterogeneous: higher complexity reduces the marginal effects of export scale and structure on foreign EEE (not domestic EEE); technology effect on EEE enhanced by complexity; no strong indirect effect on foreign EEI; asymmetric between high-income and low/middle-income countries,scale effect (economic activity) a significant driver of embodied emissions,embodied carbon in trade is the outcome (consumption-perspective relevance); dual pillar: displacement (5) secondary,mixed: heterogeneous and income-asymmetric effects of complexity on embodied carbon,mixed,"abstract (p.54015): 'The improvement of economic complexity can decrease the marginal effects of export scale and export structure on foreign EEE (but not domestic EEE) significantly, while the marginal positive impacts of technology on EEE can be further enhanced by economic complexity growth ... asymmetric impacts of economic complexity between high-income countries and low- and middle-income countries'",10.1007/s11356-021-14414-3,https://openalex.org/W3165494894
480,Chovancová & Vavrek (2020),included,full text,tech_material,cross-country decoupling index analysis (index decomposition) with spatial autocorrelation,"28 EU countries, 2008-2016",final energy consumption; GHG emissions (territorial); renewable share,none: decoupling tested directly (renewable share coupling reported),renewable share rose with GDP in 25 countries,decoupling indices relative to GDP growth; authors note indices favour near-zero-growth countries in the crisis period and that offshoring can mimic decoupling,not tested (production-based); offshoring caveat stated,"yes: territorial energy and GHG in most EU countries, 2008-2016 (post-crisis period)",supports_territorial,"p.2096: 'Final energy consumption, absolute decoupling occurs in 20 cases (71%). In the case of impact decoupling index measured as production of GHG emissions, the absolute decoupling is present in 25 cases (89%)'; p.2098 offshoring caveat",10.15244/pjoes/110613,https://openalex.org/W3000782533
497,Dorninger & Shmelev (2016),excluded: not assessable (full text not retrievable; abstract absent or without the direction of the finding),title and abstract,,,,,,,,,,,"International trade is becoming increasingly important in the strategies of industrialized economies ('core' countries) to meet their physical needs and maintain their social metabolism. Less industrialized ('non-core') countries, in particular those with low population densities such as countries in South America, provide a large share of the natural resources currently being used by the 'core' c",10.2458/v23i1.20240,https://openalex.org/W2620413123
512,Iorember et al. (2024),included,abstract,tech_material,cross-sectionally augmented ARDL and Tapio decoupling index,"BRICS countries, 1990-2019",CO2 emissions,"financialisation, human capital, energy security risk (no technology proxy)",inverted-U EKC; decoupling of carbon emissions confirmed with heterogeneous Tapio statuses across the BRICS,coded from abstract,not stated in abstract,"mixed: EKC-based decoupling claim, heterogeneous",mixed,"abstract: Abstract Against the backdrop of persistent climate change and deteriorating environmental pressure, this study integrates financialization, human capital, and energy security risks to provide new insight into decoupling carbon emissions from economic growth. The study employs annual panel data on the BRICS (Brazil, Russia, India, China, and South Africa) countries for the period of 1990–2019. The research employs the C‐S ARDL approach and the Tapio decoupling index to assess the decoupling status of the BRICS countries. In addition, this study applies the recently developed Juodis, Karavias, ",10.1111/rode.13077,https://openalex.org/W4390236533
544,Carmona et al. (2021),included,full text,tech_material,global exergy-based accounting of energy and material flows and stocks,"global, 1900-2010","primary and useful exergy flows (energy and materials), exergy in stocks",primary-to-useful exergy efficiency (8% to 16%),efficiency doubled but far from what climate targets require; stock intensity fell through a shift in stock composition rather than dematerialisation in mass terms,resource flows per unit of economic activity fell (primary 58.5 to 17.0 GJ/$; useful 4.7 to 2.8 GJ/$) whilst absolute flows grew almost eightfold,not_tested,relative_only,relative_only,"abstract (accepted manuscript p.1, lines 19-28): 'The amount of resource flows required per unit of economic activity decreased ... indicating relative decoupling'; 'due to a shift in stock composition rather than dematerialisation in mass terms'",10.1016/j.resconrec.2020.105226,https://openalex.org/W3097453793
566,Gupta (2015),included,abstract,tech_material,OECD DPSIR decoupling indicators,OECD member countries,"GHG, CO2, SOx, NOx, energy, water abstraction and waste vs GDP",none: decoupling assessed directly,"relative rather than absolute decoupling for most indicators: pressures still increase, at a lower rate than GDP",coded from abstract,not stated in abstract,relative_only,relative_only,"abstract: The purpose of this study is to closely examine the evidence of decoupling of economic growth from environmental degradation as experienced by OECD member countries. In order to analyze these aspects and to explore the comparative assessment, this work has utilized available statistical data of OECD. The study employed DPSIR methods outlined in the OECD report, which state that Indicators measure the decoupling of environmental pressure from economic growth for analyzing environmental pressure/degradation indicators, such as population growth, energy production, greenhouse gas (GHG) emission, ",10.1080/13504509.2015.1088485,https://openalex.org/W2152471389
