openalex_id,topic_id,topic_name,subfield_name,field_name,domain_name,score
https://openalex.org/W1140131796,https://openalex.org/T10101,Cloud Computing and Resource Management,Information Systems,Computer Science,Physical Sciences,0.26179999113082886
https://openalex.org/W1154354278,https://openalex.org/T12722,Innovation Policy and R&D,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,0.6739000082015991
https://openalex.org/W118349051,https://openalex.org/T12259,Environmental Justice and Health Disparities,Sociology and Political Science,Social Sciences,Social Sciences,0.9991000294685364
https://openalex.org/W118349051,https://openalex.org/T12248,Water Governance and Infrastructure,Political Science and International Relations,Social Sciences,Social Sciences,0.954800009727478
https://openalex.org/W118349051,https://openalex.org/T10239,Urban Planning and Governance,Urban Studies,Social Sciences,Social Sciences,0.9122999906539917
https://openalex.org/W1195638036,https://openalex.org/T10605,Historical Economic and Social Studies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,0.9785000085830688
https://openalex.org/W1195638036,https://openalex.org/T12144,"Colonialism, slavery, and trade",Anthropology,Social Sciences,Social Sciences,0.9007999897003174
https://openalex.org/W120449840,https://openalex.org/T12614,Indigenous Studies and Ecology,General Health Professions,Health Professions,Health Sciences,0.9991999864578247
https://openalex.org/W120449840,https://openalex.org/T10348,"Indigenous Health, Education, and Rights",Health,Social Sciences,Social Sciences,0.9901000261306763
https://openalex.org/W120449840,https://openalex.org/T12473,Pacific and Southeast Asian Studies,"Geography, Planning and Development",Social Sciences,Social Sciences,0.9660000205039978
https://openalex.org/W128978027,https://openalex.org/T12895,Environmental law and policy,Law,Social Sciences,Social Sciences,0.9951000213623047
https://openalex.org/W128978027,https://openalex.org/T13756,International Environmental Law and Policies,"Management, Monitoring, Policy and Law",Environmental Science,Physical Sciences,0.9534000158309937
https://openalex.org/W128978027,https://openalex.org/T12965,Wildlife Conservation and Criminology Analyses,Nature and Landscape Conservation,Environmental Science,Physical Sciences,0.9408000111579895
https://openalex.org/W136832057,https://openalex.org/T11474,Sport and Mega-Event Impacts,Sociology and Political Science,Social Sciences,Social Sciences,0.9995999932289124
https://openalex.org/W136832057,https://openalex.org/T10942,"Sports, Gender, and Society",Gender Studies,Social Sciences,Social Sciences,0.9976999759674072
https://openalex.org/W136832057,https://openalex.org/T12700,Doping in Sports,Sociology and Political Science,Social Sciences,Social Sciences,0.9447000026702881
https://openalex.org/W141073191,https://openalex.org/T12095,Vehicle emissions and performance,Automotive Engineering,Engineering,Physical Sciences,0.9559999704360962
https://openalex.org/W141073191,https://openalex.org/T12617,"Energy, Environment, and Transportation Policies","Renewable Energy, Sustainability and the Environment",Energy,Physical Sciences,0.9447000026702881
https://openalex.org/W14219551,https://openalex.org/T12583,Food Waste Reduction and Sustainability,Food Science,Agricultural and Biological Sciences,Life Sciences,0.22849999368190765
https://openalex.org/W144478288,https://openalex.org/T12013,Sustainable Development and Environmental Policy,"Management, Monitoring, Policy and Law",Environmental Science,Physical Sciences,0.9081000089645386
https://openalex.org/W144478288,https://openalex.org/T10471,Climate Change Policy and Economics,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,0.9010999798774719
