openalex_id,doi,title,year,journal,source_type,work_type,cited_by_count,is_oa,abstract
https://openalex.org/W1140131796,,Fostering innovation with cloud computing,2014,RiuNet (Politechnical University of Valencia),repository,article,0,TRUE,"[EN] The study of innovation is of the most important discussions of modern times. As will be illustrated, growth is highly dependent on the ability of organizations to innovate processes, products, positions, and paradigms. A disruptive new technology, known as cloud computing, has demonstrated a connection with helping organizations foster innovation. This research explores this relationship by combining decades of innovation research with an analysis of a large sample of cloud computing case studies."
https://openalex.org/W1154354278,,Symposium on Assessing the Economic Impact of Nanotechnology: Synthesis Report,2013,InterNano Nanomanufacturing Library (University of Southampton),repository,article,12,TRUE,"The Organisation for Economic Co-operation and Development (OECD) and the United States National Nanotechnology Initiative (NNI) held an international symposium, Assessing the Economic Impact of Nanotechnology, in March 2012. Hosted by the American Association for the Advancement of Science (AAAS) in Washington DC, it brought together participants from the public and private sectors with expertise all along the nanotechnology value chain - scientists, engineers, policy analysts, private investors, technology leaders, and the general public - from both OECD and emerging economies.&#13;\n&#13;\nThe symposium was organised around expert talks and discussions on issues, such as the role of research funding portfolios; intellectual property frameworks; private-sector and industry investments;&#13;\npatents and publications; venture capital; public-private partnerships; state and local initiatives;&#13;\ninternational co-operation; and development metrics for nanotechnology. In addition to plenary talks,&#13;\nsector-specific breakout sessions were organised in transport and aerospace, nanomedicine, electronics,&#13;\nenergy, materials, and food and food packaging.&#13;\n&#13;\nThis synthesis report aims to summarise the discussions and key messages from the symposium. It&#13;\nalso draws on four background reports that were developed for the symposium:&#13;\n&#13;\n- Challenges for Governments in Evaluating Return on Investment from Nanotechnology and its Broader Economic Impact, by Eleanor O'Rourke and Mark Morrison, Institute of Nanotechnology, United Kingdom&#13;\n- Finance and Investor Models in Nanotechnology, by Tom Crawley, Pekka Koponen, Lauri Tolvas and Terhi Marttila, Spinverse, Finland&#13;\n- The Economic Contributions of Nanotechnology to Green and Sustainable Growth, by Philip Shapira and Jan Youtie; University of Manchester, UK; Arizona State University, USA; and Georgia Institute of Technology, USA&#13;\n- Models, Tools and Metrics Available to Assess the Economic Impact of Nanotechnology,by Katherine Bojczcuk and Ben Walsh, Oakdene Hollins, United Kingdom &#13;\n&#13;\nThe report was developed by Marie-Ange Baucher and Richard Scott from the OECD and Chris Cannizzaro, Stacey Standridge, Elizabeth Nesbitt, and Tarek Fadel from the NNI. The OECD and NNI are grateful to those who gave their time to review this report.&#13;\n&#13;\nThe report does not necessarily represent the views of the NNI, the OECD, the AAAS; a consensus among participants; or the views of the sponsoring organisation, the National Science Foundation.&#13;\n"
https://openalex.org/W118349051,10.5070/b3261016207,"Reconsidering Sustainable Development: Urbanization, Political-Economy, and Deliberative Democracy",2013,Berkeley Undergraduate Journal,journal,article,0,TRUE,"Twenty-five years after it entered the mainstream of global development discourse, “sustainable” remains a vague concept. Adopted by the powerful and the powerless, the term has been used to describe everything from consumer products to entire economic systems. Meanwhile, conciliatory democratic politics have suffered under a heavily money-influenced political process. This paper critiques conventional views on the definition of sustainability, and the proposed solutions that emerge therefrom. Ultimately, even the most useful concept in sustainable development discourse—the “three-legged stool” of social, ecological, and economic concerns—remains inadequate. The failure to implement the three-legged stool in practice indicates that contradictions between desired outcomes in each leg are an inherent and perpetual problem for society. Modern sustainability discourse, in its focus on ideal outcomes, fails to provide guidance for what to do when these contradictions occur. In promoting deliberative democratic decision-making for government, business, and civil society as a means towards sustainability, the author emphasizes sustainability as a process, not an achievement, even if that process relies on some widely accepted sustainability indicators to gauge its direction. By paying attention to the limits and failures of current models of societal decision-making (including the ways economic structures delimit behavioral options), sustainability discourse can elaborate a successful alternative: widespread, multi-level, nested, and interacting deliberative democratic processes that address the usage and pollution of natural resources. This paper also analyzes urbanization as a contentious subject within sustainability discourse, and as a key element in deliberative democratic development and the iterative mitigation of environmental problems."
https://openalex.org/W1195638036,10.1017/cbo9781139923316.025,Urban Sustainability as Myth and Practice,2014,Cambridge University Press eBooks,ebook platform,book-chapter,1,FALSE,A summary is not available for this content so a preview has been provided. Please use the Get access link above for information on how to access this content.
https://openalex.org/W120449840,10.17615/hfm7-jw04,Navigating Mi'kmaq fishing after the Marshall decision: the cultural production of identities and local economies in Atlantic Canada,2019,Carolina Digital Repository (University of North Carolina at Chapel Hill),repository,article,1,TRUE,"This dissertation examines how one Mi'kmaq First Nation community in Atlantic Canada was confronting the cultural and economic changes brought about by the 1999 Marshall decision, a legal ruling recognizing Mi'kmaq people's treaty right to fish and sell their catch for a profit. I draw on the theoretical frameworks of social practice theory, political ecology, common property theory, moral economy and the literature on the pan-Indian Traditionalism movement to understand how Mi'kmaq people were engaging discursively with their fellow community members to construct new cultural worlds of Mi'kmaq fishing and Mi'kmaq culture following the upheavals brought about by the Marshall decision. While some community members embraced the ruling as an opportunity to earn a living in the region's lucrative commercial lobster and snow crab fisheries, community Elders and less wealthy residents argued for the persistence of a local moral economy based on sharing and the distribution of wealth. Their discourses reflected a cultural world of fishing where close human-environment relationships were integral resources in the construction of Mi'kmaq identities. However, unlike previous generations, the community's commercial fishers did not associate their new livelihoods with Mi'kmaq culture; instead, they were increasingly turning to the Traditionalism movement to provide the resources with which they constructed Mi'kmaq cultural identities. I also investigate how community members' divergent approaches to fisheries management reflected their varied approaches to proper human-environment relations in the post-Marshall period. In this dissertation, I argue that, despite the difficulties and obstacles they faced, both within and outside the community, Mi'kmaq people were working as agents to shape local history, legacy, memory and subjectivities produced in the aftermath of the Marshall decision."
https://openalex.org/W128978027,10.58948/0738-6206.1730,The Liberal Limits of Environmental Law: A Green Legal Critique,2013,Pace Environmental Law Review,journal,article,35,TRUE,"The field of environmental law embodies a deep contradiction—it is a product of the state, yet the state is the primary agent of development. This contradiction infuses state-supported resource regimes (energy, forestry, agriculture, water use) that have long been agents of environmental erosion while they have remained resistant to progressive reform. It also underpins the theoretical framework for proposed reforms today, ecological modernization. The result is that environmental law extends, rather than resolves, society’s underlying environmental “problematic.” This can now be seen in institutional responses to climate change and the “green economy.” To address this situation, the authors apply a critical new approach—green legal theory (GLT)—to analyze these historical resource regimes and today’s emerging issues. GLT does so by expanding the conception of law to address the “constitutive” or “regulatory” effects of those “system dynamics” that set the larger economic, political, and cultural conditions for social/environmental relations. In this task, GLT aims to help move “legal” analysis into the pursuit of the systemic re-formations that exist beyond the liberal limits of environmental law."
https://openalex.org/W136832057,10.1123/jsm.27.5.407,"Sport and Neoliberalism: Politics, Consumption, and Culture",2013,Journal of Sport Management,journal,article,52,FALSE,"A review is presented of the book Sport & Neoliberalism: Politics, Consumption & Culture, edited by David L. Andrews and Michael L. Silk."
https://openalex.org/W141073191,,The creation of a Dutch zero-emissions vehicle,2007,Research Repository (Delft University of Technology),repository,article,0,TRUE,"Le prsent n'est pas un pass en puissance, il est le moment du choix et de l'action -Simone de Beauvoir -How can the Cyclic Innovation Model be operationalized to arrive at the desired ZURBAN concept?How can Spring Newco support the creation of the ZURBAN proposition?Chapter 5 holds the conclusions that are drawn based on the research and the results of the case study are generalized to other innovations in the sustainability era if initiated by Spring Newco.Recommendations for the continuation of the ZURBAN project in particular and future innovative sustainable propositions in general will be provided and the main question of the research project will be answered:How does Berkhout's innovation theory contribute to the introduction of the sustainable, innovative ZURBAN proposition?In Figure 2 the structure has been visualized:Chapter 1"
https://openalex.org/W14219551,10.1038/bjc.1964.65,Blodomloppet. Ett förslag på hållbar stadsutveckling. Förändringsprocesser och bevarandets samhällsbildande funktion,2011,British Journal of Cancer,journal,article,0,TRUE,"This thesis on the sustainable urban development has the intent to discuss the conservator’s position in alteration of the built environment. An essential component of the thesis consists of a case study in the form of an entry in an open architectural competition for the development of Furuset, an urban residential area in Norway. The thesis’ discussion is based on two approaches to change and socio-economic transformations, considered being dominant within the heritage theory and practice: the production of ideas and great narratives and conservation as an instrumental tool. Conservation as part of the production of ideas is discussed from the perceived societal need of a cohesive narrative and how this is often achieved with the formal writing of history. Discussion of the instrumental capabilities of conservation practice is based on 1970s idea of cultural heritage, focusing on traditional preservation of single monuments, versus the idea of Integrated Conservation incorporating a larger socio-political process. The thesis discusses the two conservation strategies and their respective problems as well as function in the forming of society. The qualitative case study examines to which extent the two strategies can be combined in a more dynamic way to manage change, without it being necessary to restricting preservation actions to only instrumental functions, nor to limit the production of ideas of conservatism and essentialism. The essay concludes with a discussion of the case study results."
https://openalex.org/W144478288,10.1007/978-3-540-77568-3_21,Outsourcing Emissions: Clean Development Mechanism (CDM) as Ecological Modernisation,2011,,,book-chapter,2,FALSE,
